L_Grp/Pos,L_Country,L_MP,L_W,L-D,L_L,L-GF,L_GA,L_GD,L_Pts,L_R16_Teams,L_R16_Score,L_QF_Teams,L_QF_Score,L_SF_Teams,L_SF_Score,L_Fin_Teams,L_Fin_Score,TournamentWinner,R_Fin_Score,R_Fin_Teams,R_SF_Score,R_SF_Teams,R_QF_Score,R_QF_Teams,R_R16_Score,R_R16_Teams,R_Grp/Pos,R_Country,R_MP,R_W,R-D,R_L,R-GF,R_GA,R_GD,R_Pts
A1,Switzerland,3,2,0,1,11,7,4,6,,,,,,,,,,,,,,,,,,D1,Poland,3,2,0,1,14,11,3,6
A2,Germany,3,2,0,1,7,10,-3,6,Croatia,5,,,,,,,,,,,,,,2,Slovakia,D2,Austria,3,1,1,1,10,9,1,4
A3,Scotland,3,1,0,2,7,7,0,3,Belgium,1,,,,,,,,,,,,,,1,France,D3,France,3,1,1,1,11,12,-1,4
A4,Hungary,3,1,0,2,8,9,-1,3,,,,,,,,,,,,,,,,,,D4,Netherlands,3,0,2,1,10,13,-3,2
,,,,,,,,,,,,Croatia,1,,,,,,,,,,2,Slovakia,,,,,,,,,,,,
,,,,,,,,,,Switzerland,0,Slovenia,0,,,,,,,,,,0,Poland,5,Poland,,,,,,,,,,
B1,Croatia,3,2,1,0,9,3,6,7,Slovenia,1,,,Croatia,6,,,,,,4,Slovakia,,,2,Turkey,E1,Slovakia,3,2,0,1,11,7,4,6
B2,Italy,3,1,2,0,4,3,1,5,,,,,,,,,Slovakia,,,,,,,,,E2,Romania,3,2,0,1,8,8,0,6
B3,Albania,3,1,0,2,5,7,-2,3,,,,,,,Croatia,2,,5,Slovakia,,,,,,,E3,Belgium,3,1,0,2,10,7,3,3
B4,Spain,3,0,1,2,5,10,-5,1,Czech Republic,1,,,Austria,4,,,,,,1,Portugal,,,1,Denmark,E4,Ukraine,3,1,0,2,8,15,-7,3
,,,,,,,,,,Scotland,2,Scotland,0,,,,,,,,,,5,Portugal,5,Portugal,,,,,,,,,,
,,,,,,,,,,,,Austria,5,,,,,,,,,,1,Germany,,,,,,,,,,,,
C1,Denmark,3,3,0,0,15,5,10,9,,,,,,,,,,,,,,,,,,F1,Czech Republic,3,2,0,1,13,8,5,6
C2,Slovenia,3,2,0,1,12,8,4,6,Austria,5,,,,,,,,,,,,,,2,Germany,F2,Turkey,3,2,0,1,14,12,2,6
C3,England,3,1,0,2,8,12,-4,3,Romania,2,,,,,,,,,,,,,,1,Italy,F3,Portugal,3,1,1,1,8,9,-1,4
C4,Serbia,3,0,0,3,5,15,-10,0,,,,,,,,,,,,,,,,,,F4,Greece,3,0,1,2,3,9,-6,1
