L_Grp/Pos,L_Country,L_MP,L_W,L-D,L_L,L-GF,L_GA,L_GD,L_Pts,L_R16_Teams,L_R16_Score,L_QF_Teams,L_QF_Score,L_SF_Teams,L_SF_Score,L_Fin_Teams,L_Fin_Score,TournamentWinner,R_Fin_Score,R_Fin_Teams,R_SF_Score,R_SF_Teams,R_QF_Score,R_QF_Teams,R_R16_Score,R_R16_Teams,R_Grp/Pos,R_Country,R_MP,R_W,R-D,R_L,R-GF,R_GA,R_GD,R_Pts
A1,Germany,3,3,0,0,12,6,6,9,,,,,,,,,,,,,,,,,,D1,Poland,3,2,1,0,8,3,5,7
A2,Hungary,3,2,0,1,11,7,4,6,Spain,3,,,,,,,,,,,,,,4,Belgium,D2,Netherlands,3,1,1,1,9,7,2,4
A3,Switzerland,3,1,0,2,5,7,-2,3,Czech Republic,0,,,,,,,,,,,,,,5,France,D3,France,3,1,1,1,7,10,-3,4
A4,Scotland,3,0,0,3,3,11,-8,0,,,,,,,,,,,,,,,,,,D4,Austria,3,0,1,2,4,8,-4,1
,,,,,,,,,,,,Spain,1,,,,,,,,,,3,France,,,,,,,,,,,,
,,,,,,,,,,Germany,1,Denmark,4,,,,,,,,,,0,Poland,3,Poland,,,,,,,,,,
B1,Spain,3,2,0,1,11,9,2,6,Denmark,4,,,Denmark,1,,,,,,1,France,,,0,Turkey,E1,Belgium,3,2,1,0,12,10,2,7
B2,Italy,3,1,1,1,9,7,2,4,,,,,,,,,Greece,,,,,,,,,E2,Slovakia,3,1,1,1,11,11,0,4
B3,Croatia,3,1,1,1,8,8,0,4,,,,,,,Greece,5,,3,Serbia,,,,,,,E3,Ukraine,3,1,0,2,14,12,2,3
B4,Albania,3,1,0,2,11,15,-4,3,Greece,1,,,Greece,4,,,,,,5,Serbia,,,6,Serbia,E4,Romania,3,0,2,1,6,10,-4,2
,,,,,,,,,,Croatia,0,Greece,4,,,,,,,,,,6,Serbia,0,Ukraine,,,,,,,,,,
,,,,,,,,,,,,Netherlands,2,,,,,,,,,,4,Hungary,,,,,,,,,,,,
C1,Serbia,3,2,1,0,11,8,3,7,,,,,,,,,,,,,,,,,,F1,Greece,3,2,0,1,8,8,0,6
C2,Denmark,3,1,2,0,12,11,1,5,Netherlands,5,,,,,,,,,,,,,,5,Hungary,F2,Turkey,3,1,1,1,7,4,3,4
C3,Slovenia,3,1,0,2,9,10,-1,3,Slovakia,0,,,,,,,,,,,,,,0,Italy,F3,Czech Republic,3,1,1,1,8,6,2,4
C4,England,3,0,1,2,8,11,-3,1,,,,,,,,,,,,,,,,,,F4,Portugal,3,1,0,2,6,11,-5,3
