L_Grp/Pos,L_Country,L_MP,L_W,L-D,L_L,L-GF,L_GA,L_GD,L_Pts,L_R16_Teams,L_R16_Score,L_QF_Teams,L_QF_Score,L_SF_Teams,L_SF_Score,L_Fin_Teams,L_Fin_Score,TournamentWinner,R_Fin_Score,R_Fin_Teams,R_SF_Score,R_SF_Teams,R_QF_Score,R_QF_Teams,R_R16_Score,R_R16_Teams,R_Grp/Pos,R_Country,R_MP,R_W,R-D,R_L,R-GF,R_GA,R_GD,R_Pts
A1,Switzerland,3,2,1,0,12,5,7,7,,,,,,,,,,,,,,,,,,D1,Austria,3,2,1,0,11,8,3,7
A2,Scotland,3,1,1,1,10,9,1,4,Italy,1,,,,,,,,,,,,,,5,Ukraine,D2,Netherlands,3,1,1,1,12,13,-1,4
A3,Hungary,3,1,1,1,12,14,-2,4,Hungary,6,,,,,,,,,,,,,,2,Albania,D3,France,3,1,0,2,11,12,-1,3
A4,Germany,3,0,1,2,6,12,-6,1,,,,,,,,,,,,,,,,,,D4,Poland,3,0,2,1,13,14,-1,2
,,,,,,,,,,,,Hungary,4,,,,,,,,,,5,Ukraine,,,,,,,,,,,,
,,,,,,,,,,Switzerland,1,Slovenia,0,,,,,,,,,,1,Turkey,1,Austria,,,,,,,,,,
B1,Italy,3,3,0,0,13,6,7,9,Slovenia,5,,,Hungary,5,,,,,,1,Ukraine,,,4,Turkey,E1,Ukraine,3,2,1,0,8,4,4,7
B2,Spain,3,2,0,1,12,9,3,6,,,,,,,,,Hungary,,,,,,,,,E2,Slovakia,3,1,2,0,6,3,3,5
B3,Albania,3,1,0,2,12,13,-1,3,,,,,,,Hungary,3,,1,Scotland,,,,,,,E3,Belgium,3,1,0,2,5,9,-4,3
B4,Croatia,3,0,0,3,4,13,-9,0,Greece,4,,,Greece,1,,,,,,4,Scotland,,,0,Serbia,E4,Romania,3,0,1,2,7,10,-3,1
,,,,,,,,,,England,2,Greece,5,,,,,,,,,,1,France,2,France,,,,,,,,,,
,,,,,,,,,,,,Slovakia,2,,,,,,,,,,4,Scotland,,,,,,,,,,,,
C1,Serbia,3,2,0,1,8,6,2,6,,,,,,,,,,,,,,,,,,F1,Greece,3,2,1,0,10,5,5,7
C2,Slovenia,3,2,0,1,8,9,-1,6,Netherlands,0,,,,,,,,,,,,,,4,Scotland,F2,Turkey,3,1,2,0,12,8,4,5
C3,England,3,1,0,2,6,5,1,3,Slovakia,2,,,,,,,,,,,,,,2,Spain,F3,Czech Republic,3,1,0,2,8,10,-2,3
C4,Denmark,3,1,0,2,7,9,-2,3,,,,,,,,,,,,,,,,,,F4,Portugal,3,0,1,2,5,12,-7,1
