L_Rank,L_Teams,L_Group,L_MP,L_W,L_D,L_L,L_GF,L_GA,L_GD,L_Pts,L_R16_Teams,L_R16_Score,L_QF_Teams,L_QF_Score,L_SF_Teams,L_SF_Score,L_Fin_Teams,L_Fin_Score,EuroCupWinner,R_Fin_Score,R_Fin_Teams,R_SF_Teams,R_SF_Score,R_QF_Teams,R_QF_Score,R_R16_Teams,R_R16_Score,R_Rank,R_Teams,R_Group,R_MP,R_W,R_D,R_L,R_GF,R_GA,R_GD,R_Pts
1,Scotland,A,3,3,0,0,16,8,8,9,,,,,,,,,,,,,,,,,,1,Finland,D,3,3,0,0,13,6,7,9
2,Hungary,A,3,2,0,1,10,11,-1,6,Italy,2,,,,,,,,,,,,,,Ukraine,0,2,Austria,D,3,1,1,1,11,7,4,4
3,Switzerland,A,3,0,1,2,8,11,-3,1,Greece,3,,,,,,,,,,,,,,Netherlands,4,3,Netherlands,D,3,1,0,2,8,12,-4,3
4,Germany,A,3,0,1,2,6,10,-4,1,,,,,,,,,,,,,,,,,,4,France,D,3,0,1,2,3,10,-7,1
,,,,,,,,,,,,,Greece,6,,,,,,,,,,Netherlands,4,,,,,,,,,,,,,
1,Italy,B,3,2,1,0,12,9,3,7,Scotland,4,England,2,,,,,,,,,,Finland,4,Finland,4,1,Ukraine,E,3,2,1,0,15,9,6,7
2,Croatia,B,3,2,0,1,13,9,4,6,England,5,,,Greece,0,,,,,,Finland,1,,,Portugal,0,2,Slovakia,E,3,2,1,0,12,9,3,7
3,Spain,B,3,1,0,2,5,9,-4,3,,,,,,,,,Belgium,,,,,,,,,3,Belgium,E,3,1,0,2,7,11,-4,3
4,Albania,B,3,0,1,2,8,11,-3,1,,,,,,,Austria,4,,5,Belgium,,,,,,,4,Romania,E,3,0,0,3,6,11,-5,0
,,,,,,,,,,,Türkiye,1,,,Austria,6,,,,,,Belgium,6,,,Serbia,0,,,,,,,,,,,
1,Serbia,C,3,3,0,0,16,5,11,9,Spain,1,Spain,1,,,,,,,,,,Belgium,0,Belgium,3,1,Türkiye,F,3,2,0,1,10,7,3,6
2,England,C,3,1,1,1,13,11,2,4,,,Austria,5,,,,,,,,,,Hungary,0,,,2,Portugal,F,3,1,1,1,13,13,0,4
3,Slovenia,C,3,1,0,2,6,12,-6,3,,,,,,,,,,,,,,,,,,3,Greece,F,3,1,1,1,12,13,-1,4
4,Denmark,C,3,0,1,2,9,16,-7,1,Austria,3,,,,,,,,,,,,,,Hungary,5,4,Czech,F,3,1,0,2,11,13,-2,3
,,,,,,,,,,,Slovakia,1,,,,,,,,,,,,,,Croatia,2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
