sale_id	employee_id	transaction_id	sale_date	amount
1	10	33	2023-03-23	480
2	9	21	2023-11-28	705
3	7	4	2023-04-19	716
4	9	10	2023-11-05	242
5	9	69	2023-11-08	17
6	7	9	2023-06-19	362
7	7	93	2023-09-09	513
8	7	34	2023-08-25	107
9	1	86	2023-05-18	456
10	6	14	2023-12-26	367
11	10	53	2023-08-12	871
12	9	78	2023-06-05	35
13	8	90	2023-11-11	547
14	7	16	2023-05-21	820
15	5	26	2023-08-20	91
16	1	14	2023-09-06	359
17	10	72	2023-01-20	462
18	9	35	2023-01-12	987
19	4	26	2023-03-15	161
20	9	48	2023-07-16	644
21	10	91	2023-10-10	677
22	8	3	2023-12-10	440
23	7	45	2023-08-10	428
24	5	42	2023-01-17	319
25	2	50	2023-10-14	263
26	9	9	2023-07-09	627
27	5	75	2023-11-13	514
28	1	5	2023-01-03	748
29	1	48	2023-10-12	775
30	1	99	2023-08-13	97
31	9	31	2023-08-12	307
32	10	51	2023-11-27	249
33	9	88	2023-10-15	591
34	4	15	2023-04-25	404
35	10	76	2023-01-11	702
36	4	20	2023-12-20	794
37	6	64	2023-11-14	804
38	1	68	2023-04-19	467
39	8	38	2023-02-17	319
40	1	96	2023-10-07	953
41	5	55	2023-02-19	892
42	3	13	2023-06-25	506
43	9	82	2023-01-10	496
44	3	98	2023-02-24	855
45	5	98	2023-12-21	283
46	8	82	2023-02-19	22
47	9	33	2023-06-16	889
48	10	39	2023-11-18	346
49	10	68	2023-07-07	605
50	8	35	2023-07-08	728
51	9	7	2023-12-16	67
52	6	91	2023-08-22	179
53	6	92	2023-04-06	72
54	9	88	2023-08-04	994
55	3	57	2023-02-14	609
56	4	13	2023-02-08	616
57	9	7	2023-02-22	729
58	1	77	2023-06-02	575
59	6	75	2023-07-06	873
60	2	27	2023-01-26	566
61	1	15	2023-04-01	539
62	8	2	2023-07-28	757
63	5	28	2023-10-11	499
64	9	12	2023-05-08	820
65	2	45	2023-12-26	516
66	6	14	2023-12-02	758
67	6	85	2023-11-22	222
68	6	77	2023-07-08	844
69	1	37	2023-05-19	117
70	5	54	2023-04-13	564
71	10	81	2023-09-08	156
72	7	8	2023-10-25	667
73	9	64	2023-01-18	766
74	2	61	2023-07-15	189
75	1	16	2023-12-09	643
76	3	31	2023-01-05	71
77	7	65	2023-05-19	281
78	2	21	2023-09-08	290
79	10	9	2023-12-02	424
80	5	59	2023-10-25	912
81	9	95	2023-11-02	966
82	2	39	2023-07-01	37
83	3	61	2023-05-17	232
84	5	69	2023-08-05	149
85	2	40	2023-07-16	707
86	6	75	2023-06-11	674
87	3	45	2023-12-07	122
88	9	22	2023-03-01	977
89	4	81	2023-05-14	262
90	4	47	2023-01-02	777
91	2	83	2023-09-10	424
92	8	91	2023-02-11	458
93	6	25	2023-01-28	544
94	8	95	2023-09-20	129
95	6	31	2023-02-05	516
96	8	46	2023-03-09	664
97	4	36	2023-06-28	10
98	5	30	2023-07-20	949
99	10	20	2023-04-19	355
100	7	82	2023-12-14	287
