transaction_id	customer_id	product_id	transaction_date	amount_paid
1	3	3	2023-05-01	613
2	19	9	2023-07-03	227
3	9	10	2023-10-25	891
4	4	3	2023-05-28	342
5	15	6	2023-04-18	91
6	14	9	2023-09-27	391
7	6	1	2023-12-16	654
8	13	2	2023-12-09	920
9	17	6	2023-07-07	151
10	19	5	2023-09-12	667
11	16	4	2023-04-07	273
12	19	6	2023-12-10	568
13	18	2	2023-11-28	748
14	16	8	2023-01-09	45
15	15	1	2023-02-07	612
16	10	8	2023-03-21	561
17	18	8	2023-07-04	818
18	13	10	2023-09-26	263
19	20	8	2023-06-05	221
20	4	6	2023-10-04	591
21	6	2	2023-06-09	912
22	9	4	2023-03-09	111
23	7	6	2023-09-08	263
24	18	2	2023-01-06	64
25	4	10	2023-05-23	748
26	17	8	2023-11-25	940
27	5	5	2023-05-25	407
28	1	5	2023-08-21	326
29	18	6	2023-03-05	325
30	15	6	2023-11-21	454
31	11	10	2023-04-23	57
32	15	7	2023-01-10	337
33	6	2	2023-06-01	119
34	7	10	2023-06-21	581
35	12	4	2023-12-18	170
36	13	7	2023-04-02	519
37	16	3	2023-09-20	149
38	19	10	2023-06-12	891
39	14	1	2023-08-07	250
40	3	4	2023-03-14	696
41	6	9	2023-06-26	111
42	11	4	2023-06-24	877
43	8	7	2023-11-25	88
44	17	8	2023-12-04	304
45	4	9	2023-04-05	879
46	10	7	2023-12-16	939
47	3	1	2023-12-06	676
48	5	2	2023-04-15	830
49	20	10	2023-12-16	41
50	13	10	2023-10-15	960
51	19	4	2023-10-24	535
52	6	5	2023-10-04	588
53	2	2	2023-05-21	161
54	8	6	2023-05-03	504
55	7	4	2023-06-13	243
56	11	5	2023-02-24	853
57	13	8	2023-10-27	288
58	5	5	2023-02-24	549
59	9	10	2023-08-09	323
60	10	1	2023-11-21	292
61	2	2	2023-07-22	832
62	2	8	2023-09-28	373
63	17	7	2023-12-14	529
64	5	7	2023-06-24	413
65	19	7	2023-12-08	734
66	2	4	2023-04-25	279
67	1	4	2023-10-13	769
68	4	3	2023-06-12	864
69	6	5	2023-11-02	222
70	17	3	2023-01-09	897
71	4	8	2023-05-23	352
72	4	8	2023-03-27	690
73	10	10	2023-01-14	695
74	20	9	2023-12-27	308
75	2	1	2023-03-10	25
76	1	8	2023-03-01	93
77	11	2	2023-09-13	77
78	11	5	2023-09-18	838
79	6	7	2023-08-23	437
80	12	7	2023-09-22	262
81	1	8	2023-06-14	115
82	8	7	2023-05-24	873
83	12	6	2023-06-17	168
84	18	1	2023-07-17	484
85	20	8	2023-05-19	568
86	5	6	2023-07-11	991
87	1	1	2023-04-07	25
88	18	6	2023-08-15	673
89	11	3	2023-11-25	512
90	16	5	2023-11-14	712
91	4	5	2023-06-11	113
92	2	3	2023-05-11	308
93	12	9	2023-11-07	472
94	18	1	2023-02-08	305
95	18	9	2023-12-18	260
96	15	2	2023-03-05	124
97	6	3	2023-06-20	974
98	6	1	2023-03-26	578
99	4	4	2023-12-09	265
100	15	2	2023-07-24	735
