CUI1,VER_START,VER_END,Cardinality,CUI2,Code Set,Version Month
89904,RXNORM_17AA_170905F,RXNORM_20AA_221003F,1,89904,RxNorm,2024-02-05
91669,RXNORM_17AA_170905F,RXNORM_18AB_181203F,1,91669,RxNorm,2024-02-05
91714,RXNORM_10AA_100802F,RXNORM_10AA_100802F,1,1000992,RxNorm,2024-02-05
91811,RXNORM_04AC_050210F,RXNORM_09AA_090706F,1,857082,RxNorm,2024-02-05
91812,RXNORM_04AC_050210F,RXNORM_09AA_090706F,1,857087,RxNorm,2024-02-05
91919,RXNORM_04AC_050210F,RXNORM_09AA_090504F,1,849580,RxNorm,2024-02-05
91942,RXNORM_12AA_120507F,RXNORM_12AA_120507F,1,1293743,RxNorm,2024-02-05
91960,RXNORM_10AA_100503F,RXNORM_10AA_100503F,1,991063,RxNorm,2024-02-05
91961,RXNORM_10AA_100503F,RXNORM_10AA_100503F,1,991088,RxNorm,2024-02-05
92286,RXNORM_04AC_050210F,RXNORM_09AB_100104F,1,895989,RxNorm,2024-02-05
92548,RXNORM_10AB_101206F,RXNORM_10AB_101206F,1,1048284,RxNorm,2024-02-05
92549,RXNORM_10AB_101206F,RXNORM_10AB_101206F,1,1048288,RxNorm,2024-02-05
92643,RXNORM_04AC_050210F,RXNORM_09AA_090706F,1,856710,RxNorm,2024-02-05
92690,RXNORM_10AA_100607F,RXNORM_10AA_100607F,1,994091,RxNorm,2024-02-05
92691,RXNORM_10AA_100607F,RXNORM_10AA_100607F,1,994093,RxNorm,2024-02-05
92840,RXNORM_04AC_050210F,RXNORM_09AA_090803F,1,859873,RxNorm,2024-02-05
92841,RXNORM_04AC_050210F,RXNORM_09AA_090803F,1,859869,RxNorm,2024-02-05
92887,RXNORM_04AC_050210F,RXNORM_09AA_090706F,1,856955,RxNorm,2024-02-05
93008,RXNORM_04AC_050210F,RXNORM_09AA_090504F,1,793871,RxNorm,2024-02-05
93162,RXNORM_04AC_050210F,RXNORM_09AB_091102F,1,857113,RxNorm,2024-02-05
93163,RXNORM_04AC_050210F,RXNORM_09AA_090706F,1,857117,RxNorm,2024-02-05
93439,RXNORM_11AB_111205F,RXNORM_11AB_111205F,1,1232653,RxNorm,2024-02-05
93476,RXNORM_10AA_100607F,RXNORM_10AA_100607F,1,996032,RxNorm,2024-02-05
93898,RXNORM_11AA_111107F,RXNORM_11AA_111107F,1,795356,RxNorm,2024-02-05
93974,RXNORM_10AA_100907F,RXNORM_10AA_100907F,1,1010654,RxNorm,2024-02-05
94215,RXNORM_11AA_110906F,RXNORM_11AA_111003F,1,1191313,RxNorm,2024-02-05
94347,RXNORM_04AC_050210F,RXNORM_09AB_100104F,1,891631,RxNorm,2024-02-05
94487,RXNORM_09AB_100301F,RXNORM_09AB_100301F,1,966598,RxNorm,2024-02-05
94592,RXNORM_12AB_130204F,RXNORM_12AB_130204F,1,1370756,RxNorm,2024-02-05
94593,RXNORM_12AB_130204F,RXNORM_12AB_130204F,1,1370752,RxNorm,2024-02-05
94617,RXNORM_10AA_100907F,RXNORM_10AA_100907F,1,1009418,RxNorm,2024-02-05
102209,RXNORM_11AB_120206F,RXNORM_11AB_120206F,1,102209,RxNorm,2024-02-05
102213,RXNORM_05AA_050617F,RXNORM_09AA_090706F,1,102213,RxNorm,2024-02-05
102274,RXNORM_17AA_170905F,RXNORM_20AA_221003F,1,102274,RxNorm,2024-02-05
102275,RXNORM_11AA_110906F,RXNORM_11AA_110906F,1,102275,RxNorm,2024-02-05
102291,RXNORM_11AA_110906F,RXNORM_11AA_111003F,1,1190798,RxNorm,2024-02-05
102293,RXNORM_10AB_110207F,RXNORM_10AB_110207F,1,102293,RxNorm,2024-02-05
102294,RXNORM_10AB_110207F,RXNORM_10AB_110207F,1,1091469,RxNorm,2024-02-05
102298,RXNORM_15AA_151005F,RXNORM_15AA_151005F,1,102298,RxNorm,2024-02-05
102301,RXNORM_05AA_050617F,RXNORM_09AA_090601F,1,852884,RxNorm,2024-02-05
102306,RXNORM_17AA_170905F,RXNORM_19AA_190805F,1,102306,RxNorm,2024-02-05
102332,RXNORM_11AA_111107F,RXNORM_11AA_111107F,1,249767,RxNorm,2024-02-05
102343,RXNORM_11AA_111107F,RXNORM_11AA_111107F,1,251178,RxNorm,2024-02-05
102355,RXNORM_14AA_140505F,RXNORM_14AA_140505F,1,102355,RxNorm,2024-02-05
102356,RXNORM_12AA_120604F,RXNORM_12AA_120604F,1,102356,RxNorm,2024-02-05
102357,RXNORM_12AA_120604F,RXNORM_12AA_120604F,1,102357,RxNorm,2024-02-05
102358,RXNORM_14AA_140505F,RXNORM_14AA_140505F,1,1298795,RxNorm,2024-02-05
102360,RXNORM_11AA_110705F,RXNORM_11AA_110705F,1,1114876,RxNorm,2024-02-05
102361,RXNORM_12AA_120604F,RXNORM_12AA_120604F,1,1299693,RxNorm,2024-02-05
102362,RXNORM_12AA_120604F,RXNORM_12AA_120604F,1,102362,RxNorm,2024-02-05
102366,RXNORM_16AB_161107F,RXNORM_16AB_161107F,1,102366,RxNorm,2024-02-05
102385,RXNORM_17AA_170905F,RXNORM_18AB_181203F,1,102385,RxNorm,2024-02-05
102390,RXNORM_17AA_170905F,RXNORM_18AB_181203F,1,102390,RxNorm,2024-02-05
102393,RXNORM_17AA_170905F,RXNORM_18AB_181203F,1,102393,RxNorm,2024-02-05
102394,RXNORM_17AA_170905F,RXNORM_18AB_181203F,1,102394,RxNorm,2024-02-05
102399,RXNORM_12AA_120604F,RXNORM_12AA_120604F,1,102399,RxNorm,2024-02-05
102400,RXNORM_12AA_120604F,RXNORM_12AA_120604F,1,102400,RxNorm,2024-02-05
102413,RXNORM_10AA_100503F,RXNORM_10AA_100503F,1,979477,RxNorm,2024-02-05
102444,RXNORM_14AA_140505F,RXNORM_14AA_140505F,1,102444,RxNorm,2024-02-05
102480,RXNORM_12AA_120604F,RXNORM_12AA_120604F,1,102480,RxNorm,2024-02-05
102521,RXNORM_10AB_101206F,RXNORM_10AB_101206F,1,102521,RxNorm,2024-02-05
102534,RXNORM_09AB_100301F,RXNORM_09AB_100301F,1,905527,RxNorm,2024-02-05
102540,RXNORM_14AB_150302F,RXNORM_14AB_150302F,1,200952,RxNorm,2024-02-05
102583,RXNORM_15AB_160307F,RXNORM_15AB_160307F,1,102583,RxNorm,2024-02-05
102586,RXNORM_17AA_170905F,RXNORM_18AB_190401F,1,102586,RxNorm,2024-02-05
102596,RXNORM_04AC_050210F,RXNORM_09AA_090601F,1,853501,RxNorm,2024-02-05
102641,RXNORM_12AA_120904F,RXNORM_12AA_120904F,1,102641,RxNorm,2024-02-05
102642,RXNORM_12AA_120702F,RXNORM_12AA_120702F,1,102642,RxNorm,2024-02-05
102650,RXNORM_15AB_160104F,RXNORM_15AB_160104F,1,102650,RxNorm,2024-02-05
102653,RXNORM_11AB_111205F,RXNORM_11AB_111205F,1,102653,RxNorm,2024-02-05
102655,RXNORM_11AB_111205F,RXNORM_11AB_111205F,1,102655,RxNorm,2024-02-05
102656,RXNORM_17AA_170905F,RXNORM_20AA_200706F,1,102656,RxNorm,2024-02-05
102657,RXNORM_17AA_170905F,RXNORM_20AA_200706F,1,102657,RxNorm,2024-02-05
102660,RXNORM_11AB_120103F,RXNORM_11AB_120103F,1,1233876,RxNorm,2024-02-05
102661,RXNORM_11AB_111205F,RXNORM_11AB_111205F,1,102661,RxNorm,2024-02-05
102671,RXNORM_05AA_050617F,RXNORM_09AA_090504F,1,850029,RxNorm,2024-02-05
